"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/11/2024","578,00","567,20","578,00","567,20","76,28K","1,46%"
"14/11/2024","569,70","569,90","569,90","565,00","26,19K","0,28%"
"13/11/2024","568,10","571,00","571,00","567,10","13,30K","-0,33%"
"12/11/2024","570,00","567,10","574,00","567,10","34,54K","0,00%"
"11/11/2024","570,00","570,00","571,90","566,00","46,54K","-0,02%"
"08/11/2024","570,10","565,00","570,10","565,00","144,28K","0,90%"
"07/11/2024","565,00","548,00","570,00","547,50","73,81K","3,33%"
"05/11/2024","546,80","547,90","548,00","541,30","17,21K","-0,22%"
"04/11/2024","548,00","548,00","548,00","541,00","16,04K","-0,35%"
"01/11/2024","549,90","544,00","549,90","540,10","59,22K","1,63%"
"31/10/2024","541,10","541,00","542,10","539,00","36,75K","-0,18%"
"30/10/2024","542,10","541,00","548,00","541,00","6,15K","-0,53%"
"29/10/2024","545,00","540,10","545,00","540,10","16,66K","0,00%"
"28/10/2024","545,00","545,00","547,50","538,00","84,83K","0,00%"
"25/10/2024","545,00","539,00","545,00","539,00","104,03K","0,93%"
"24/10/2024","540,00","543,90","543,90","538,00","38,07K","0,75%"
"23/10/2024","536,00","535,00","538,80","534,00","16,92K","-0,54%"
"22/10/2024","538,90","534,10","539,00","534,10","0,66K","0,17%"
"21/10/2024","538,00","534,00","538,00","534,00","6,06K","0,00%"
"18/10/2024","538,00","543,00","543,00","530,10","17,44K","-0,35%"
"17/10/2024","539,90","534,00","543,00","534,00","18,71K","1,29%"
"16/10/2024","533,00","534,00","536,90","530,30","36,24K","-0,56%"
"15/10/2024","536,00","534,00","538,00","534,00","30,31K","0,19%"
"14/10/2024","535,00","538,00","538,00","531,00","4,39K","-0,56%"
"11/10/2024","538,00","533,00","538,00","533,00","62,08K","0,56%"
